#NetworkNum	ID	MatchName	Solvent	AmbiguityScore	Hitscore	CoverageScore	MatchedConnections	UnmatchedConnections
Network1	bmse000049	L_threonine	D2O	0.0	0.333	0.75	CX3-CX2->C1-C2,CX2-CX4->C2-C2,	CX4-CX1->C2-?,
Network1	bmse000794	3_carboxypropyl_trimethyl_ammonium	D2O	0.571	0.333	0.5	CX3-CX2->C5-C4,	CX2-CX4->C4-?,CX4-CX1->?-?,
Network1	bmse000859	L_threonine	D2O	0.0	0.333	0.75	CX3-CX2->C1-C2,CX2-CX4->C2-C2,	CX4-CX1->C2-?,
Network2	bmse000208	L_lactic_acid	D2O	0.0	0.5	0.75	CX3-CX1->C3-C2,CX4-CX1->C2-C2,	CX4-CX2->C2-?,
Network2	bmse000269	R_Lactate	D2O	0.0	0.5	0.75	CX3-CX1->C5-C4,CX4-CX1->C4-C4,	CX4-CX2->C4-?,
Network2	bmse000979	L_lactic_acid	D2O	0.0	0.5	0.75	CX3-CX1->C3-C2,CX4-CX1->C2-C2,	CX4-CX2->C2-?,
Network3	bmse000261	Acetyl_phosphate	D2O	0.0	1.0	1.0	CX1-CX2->C8-C7,	
Network4	bmse000019	D_ornithine	D2O	0.0	0.25	1.0	CX1-CX2->C4-C5,	
Network4	bmse000042	L_leucine	D2O	0.333	0.2	1.0	CX1-CX2->C6-C5,	
Network4	bmse000109	putrescine	D2O	0.0	0.333	1.0	CX1-CX2->C5-C4,	
Network4	bmse000116	spermidine	D2O	1.0	0.2	1.0	CX1-CX2->C8-C9,	
Network4	bmse000162	L_ornithine	D2O	0.0	0.25	1.0	CX1-CX2->C4-C5,	
Network4	bmse000195	N_alpha_acetyl_DL_ornithine	D2O	0.0	0.333	1.0	CX1-CX2->C8-C11,	
Network4	bmse000340	gamma_Aminobutyric_acid	D2O	0.0	0.333	1.0	CX1-CX2->C4-C6,	
Network4	bmse000468	4_Acetamidobutyric_acid	D2O	0.0	0.25	1.0	CX1-CX2->C5-C6,	
Network4	bmse000744	histamine	D2O	0.0	0.333	1.0	CX1-CX2->C4-C6,	
Network4	bmse000862	putrescine	D2O	0.0	0.333	1.0	CX1-CX2->C5-C4,	
Network4	bmse000871	gamma_Aminobutyric_acid	D2O	0.0	0.333	1.0	CX1-CX2->C4-C6,	
Network4	bmse000897	D_ornithine	D2O	0.0	0.25	1.0	CX1-CX2->C4-C5,	
Network4	bmse000951	spermidine	D2O	1.0	0.2	1.0	CX1-CX2->C8-C9,	
Network5	bmse000019	D_ornithine	D2O	0.0	0.25	1.0	CX1-CX2->C3-C2,	
Network5	bmse000037	L_glutamic_acid	D2O	0.0	0.25	1.0	CX1-CX2->C6-C4,	
Network5	bmse000038	L_glutamine	D2O	0.0	0.25	1.0	CX1-CX2->C5-C2,	
Network5	bmse000162	L_ornithine	D2O	0.0	0.25	1.0	CX1-CX2->C3-C2,	
Network5	bmse000194	L_arginine_L_glutamate	D2O	0.0	0.2	1.0	CX1-CX2->C2-C4,	
Network5	bmse000897	D_ornithine	D2O	0.0	0.25	1.0	CX1-CX2->C3-C2,	
Network6	bmse000038	L_glutamine	D2O	0.0	0.25	1.0	CX1-CX2->C7-C6,	
Network7	bmse000794	3_carboxypropyl_trimethyl_ammonium	D2O	0.571	0.333	0.667	CX1-CX2->C10-C9,CX1-CX1->C10-C10,	CX3-CX1->?-?,
Network8	bmse000120	taurine	D2O	0.0	1.0	1.0	CX1-CX2->C2-C7,	
Network9	bmse000423	N_acetyl_L_aspartic_acid	D2O	0.0	0.25	1.0	CX1-CX2->C8-C10,	
Network10	bmse000308	2_Aminoethyl_dihydrogen_phosphate	D2O	0.0	1.0	0.667	CX2-CX2->C8-C8,CX1-CX2->C7-C8,	CX3-CX2->?-?,
