#NetworkNum	ID	MatchName	Solvent	AmbiguityScore	Hitscore	CoverageScore	MatchedConnections	UnmatchedConnections
Network1	bmse000041	L_isoleucine	D2O	0.0	0.2	0.667	CX3-CX3->C6-C6,CX3-CX1->C6-C1,	CX3-CX2->C6-?,
Network1	bmse000134	ethacrynic_acid	D2O	0.0	0.333	0.667	CX3-CX3->C1-C1,CX3-CX1->C1-C5,	CX3-CX2->C1-?,
Network1	bmse000319	3_Methyl_2_oxopentanoic_acid	D2O	0.0	0.2	0.667	CX3-CX3->C8-C8,CX3-CX1->C8-C5,	CX3-CX2->C8-?,
Network1	bmse000574	3_Methyl_2_oxopentanoic_acid	D2O	0.0	0.2	0.667	CX3-CX3->C8-C8,CX3-CX1->C8-C5,	CX3-CX2->C8-?,
Network1	bmse000578	ethylmalonic_acid	D2O	0.0	0.25	0.667	CX3-CX3->C7-C7,CX3-CX1->C7-C6,	CX3-CX2->C7-?,
Network1	bmse000866	L_isoleucine	D2O	0.0	0.2	0.667	CX3-CX3->C6-C6,CX3-CX1->C6-C1,	CX3-CX2->C6-?,
Network2	bmse000029	L_arginine	D2O	0.0	0.25	1.0	CX2-CX1->C6-C5,	
Network2	bmse000047	L_proline	D2O	0.0	0.25	1.0	CX2-CX1->C6-C5,	
Network2	bmse000194	L_arginine_L_glutamate	D2O	0.0	0.2	1.0	CX2-CX1->C1-C2,	
Network2	bmse000711	L_arginine	D2O	0.0	0.25	1.0	CX2-CX1->C6-C5,	
Network2	bmse000947	L_proline	D2O	0.0	0.25	1.0	CX2-CX1->C6-C5,	
Network3	bmse000047	L_proline	D2O	0.0	0.25	1.0	CX2-CX1->C6-C7,	
Network3	bmse000116	spermidine	D2O	1.0	0.2	1.0	CX2-CX1->C8-C7,	
Network3	bmse000947	L_proline	D2O	0.0	0.25	1.0	CX2-CX1->C6-C7,	
Network3	bmse000951	spermidine	D2O	1.0	0.2	1.0	CX2-CX1->C8-C7,	
Network5	bmse000032	L_citrulline	D2O	0.0	0.25	1.0	CX2-CX1->C7-C6,	
Network5	bmse000047	L_proline	D2O	0.0	0.25	1.0	CX2-CX1->C6-C5,	
Network5	bmse000209	D_citrulline	D2O	0.0	0.25	1.0	CX2-CX1->C12-C11,	
Network5	bmse000483	R_2_Pyrrolidinone_5_carboxylate	D2O	0.0	0.25	1.0	CX2-CX1->C6-C7,	
Network5	bmse000858	L_citrulline	D2O	0.0	0.25	1.0	CX2-CX1->C7-C6,	
Network5	bmse000878	R_2_Pyrrolidinone_5_carboxylate	D2O	0.0	0.25	1.0	CX2-CX1->C6-C7,	
Network5	bmse000947	L_proline	D2O	0.0	0.25	1.0	CX2-CX1->C6-C5,	
Network7	bmse000037	L_glutamic_acid	D2O	0.0	0.5	0.8	CX3-CX5->C6-C7,CX5-CX5->C7-C7,CX5-CX1->C7-C7,CX2-CX1->C2-C7,	CX5-CX4->C7-?,
Network7	bmse000344	4_Guanidinobutyric_acid	D2O	0.0	0.333	0.6	CX5-CX5->C7-C7,CX5-CX1->C7-C7,CX2-CX1->C9-C7,	CX3-CX5->?-?,CX5-CX4->C7-?,
Network7	bmse000382	N_Acetyl_L_glutamic_acid	D2O	0.0	0.4	0.8	CX5-CX4->C9-C8,CX5-CX5->C9-C9,CX5-CX1->C9-C9,CX2-CX1->C12-C9,	CX3-CX5->?-?,
Network9	bmse000019	D_ornithine	D2O	0.0	0.25	1.0	CX1-CX2->C3-C2,	
Network9	bmse000029	L_arginine	D2O	0.0	0.25	1.0	CX1-CX2->C5-C2,	
Network9	bmse000032	L_citrulline	D2O	0.0	0.25	1.0	CX1-CX2->C6-C4,	
Network9	bmse000037	L_glutamic_acid	D2O	0.0	0.25	1.0	CX1-CX2->C6-C4,	
Network9	bmse000039	L_histidine	D2O	0.333	0.25	1.0	CX1-CX2->C3-C5,	
Network9	bmse000145	N_acetyl_L_glutamine	D2O	0.286	0.2	1.0	CX1-CX2->C6-C5,	
Network9	bmse000162	L_ornithine	D2O	0.0	0.25	1.0	CX1-CX2->C3-C2,	
Network9	bmse000194	L_arginine_L_glutamate	D2O	0.0	0.2	1.0	CX1-CX2->C2-C4,	
Network9	bmse000209	D_citrulline	D2O	0.0	0.25	1.0	CX1-CX2->C11-C6,	
Network9	bmse000246	L_carnosine	D2O	0.0	0.25	1.0	CX1-CX2->C5-C7,	
